Time (fs)	,	Dipole 10A	,	Dipole 3A	,	3A-10A
71.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
71.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
71.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
71.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
72.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
72.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
72.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
72.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
72.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
73.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
73.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
73.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
73.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
73.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
74.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
74.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
74.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
74.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
74.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
75.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
75.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
75.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
75.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
75.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
76.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
76.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
76.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
76.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
76.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
77.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
77.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
77.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
77.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
77.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
78.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
78.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
78.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
78.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
78.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
79.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
79.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
79.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
79.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
79.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
80.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
80.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
80.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
80.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
80.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
81.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
81.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
81.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
81.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
81.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
82.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
82.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
82.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
82.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
82.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
83.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
83.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
83.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
83.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
83.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
84.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
84.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
84.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
84.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
84.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
85.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
85.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
85.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
85.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
85.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
86.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
86.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
